,date,values-Production,values-Consumption,values-FeedIn,values-SelfConsumption,values-Purchased
668,2021-08-27 20:00:00,0.0,1075,0,0,1075
669,2021-08-27 21:00:00,0.0,843,0,0,843
670,2021-08-27 22:00:00,0.0,968,0,0,968
671,2021-08-27 23:00:00,0.0,551,0,0,551
672,2021-08-28 00:00:00,0.0,510,0,0,510
673,2021-08-28 01:00:00,0.0,775,0,0,775
674,2021-08-28 02:00:00,0.0,1366,0,0,1366
675,2021-08-28 03:00:00,0.0,415,0,0,415
676,2021-08-28 04:00:00,0.0,525,0,0,525
677,2021-08-28 05:00:00,0.0,407,0,0,407
678,2021-08-28 06:00:00,1.0,563,0,1,562
679,2021-08-28 07:00:00,96.0,831,0,96,735
680,2021-08-28 08:00:00,305.0,651,8,297,354
681,2021-08-28 09:00:00,803.0,1354,235,568,786
682,2021-08-28 10:00:00,1085.0,1177,413,672,505
683,2021-08-28 11:00:00,1077.0,794,344,733,61
684,2021-08-28 12:00:00,1691.0,670,1030,661,9
685,2021-08-28 13:00:00,2300.0,791,1526,774,17
686,2021-08-28 14:00:00,1681.0,536,1165,516,20
687,2021-08-28 15:00:00,2126.0,785,1344,782,3
688,2021-08-28 16:00:00,3566.0,1685,2132,1434,251
689,2021-08-28 17:00:00,3879.0,940,2939,940,0
690,2021-08-28 18:00:00,1623.0,1363,909,714,649
691,2021-08-28 19:00:00,1174.0,1247,301,873,374
692,2021-08-28 20:00:00,0.0,968,0,0,968
693,2021-08-28 21:00:00,0.0,1068,0,0,1068
694,2021-08-28 22:00:00,0.0,1606,0,0,1606
695,2021-08-28 23:00:00,0.0,1003,0,0,1003
696,2021-08-29 00:00:00,0.0,363,0,0,363
697,2021-08-29 01:00:00,0.0,521,0,0,521
698,2021-08-29 02:00:00,0.0,752,0,0,752
699,2021-08-29 03:00:00,0.0,446,0,0,446
700,2021-08-29 04:00:00,0.0,348,0,0,348
701,2021-08-29 05:00:00,0.0,440,0,0,440
702,2021-08-29 06:00:00,12.0,403,0,12,391
703,2021-08-29 07:00:00,165.0,1134,0,165,969
704,2021-08-29 08:00:00,432.0,715,15,417,298
705,2021-08-29 09:00:00,496.0,841,75,421,420
706,2021-08-29 10:00:00,1037.0,1005,294,743,262
707,2021-08-29 11:00:00,1117.0,1318,239,878,440
708,2021-08-29 12:00:00,1110.0,1072,452,658,414
709,2021-08-29 13:00:00,1463.0,1178,584,879,299
710,2021-08-29 14:00:00,1221.0,1052,465,756,296
711,2021-08-29 15:00:00,816.0,1581,49,767,814
712,2021-08-29 16:00:00,730.0,1566,9,721,845
713,2021-08-29 17:00:00,740.0,1834,12,728,1106
714,2021-08-29 18:00:00,219.0,1478,0,219,1259
715,2021-08-29 19:00:00,25.0,1008,0,25,983
716,2021-08-29 20:00:00,0.0,828,0,0,828
717,2021-08-29 21:00:00,0.0,1168,0,0,1168
718,2021-08-29 22:00:00,0.0,653,0,0,653
719,2021-08-29 23:00:00,0.0,402,0,0,402
720,2021-08-30 00:00:00,0.0,516,0,0,516
721,2021-08-30 01:00:00,0.0,1137,0,0,1137
722,2021-08-30 02:00:00,0.0,484,0,0,484
723,2021-08-30 03:00:00,0.0,354,0,0,354
724,2021-08-30 04:00:00,0.0,400,0,0,400
725,2021-08-30 05:00:00,0.0,425,0,0,425
726,2021-08-30 06:00:00,0.0,414,0,0,414
727,2021-08-30 07:00:00,103.0,556,0,103,453
728,2021-08-30 08:00:00,238.0,1199,0,238,961
729,2021-08-30 09:00:00,562.0,1563,0,562,1001
730,2021-08-30 10:00:00,1062.0,672,506,556,116
731,2021-08-30 11:00:00,941.0,1046,310,631,415
732,2021-08-30 12:00:00,617.0,861,14,603,258
733,2021-08-30 13:00:00,564.0,1828,0,564,1264
734,2021-08-30 14:00:00,569.0,847,85,484,363
735,2021-08-30 15:00:00,558.0,1046,68,490,556
736,2021-08-30 16:00:00,349.0,582,0,349,233
737,2021-08-30 17:00:00,218.0,894,0,218,676
738,2021-08-30 18:00:00,59.0,821,0,59,762
739,2021-08-30 19:00:00,0.0,615,0,0,615
740,2021-08-30 20:00:00,0.0,1465,0,0,1465
741,2021-08-30 21:00:00,0.0,511,0,0,511
742,2021-08-30 22:00:00,0.0,474,0,0,474
743,2021-08-30 23:00:00,0.0,391,0,0,391
